Target Translation;English;French;German;Italian;Portuguese;Spanish
Process Instances;Process Instances;Instances de processus;Prozessinstanzen;Istanze di processo;Instâncias de processo;Instancias de proceso
Process Instances - Grouped;Process Instances - Grouped;Instances de processus - groupées;Prozessinstanzen - gruppiert;Istanze di processo - Raggruppate;Instâncias de processo - agrupadas;Instancias de proceso - Agrupadas
Process Name;Process Name;Nom du processus;Prozessname;Nome del processo;Nome do processo;Nombre del proceso
Process Name:;Process Name:;Nom du processus:;Prozessname:;Nome del processo:;Nome do processo:;Nombre del proceso:
Processes Average Time;Processes Average Time;Temps moyen des processus;Verarbeitet die durchschnittliche Zeit;Processa tempo medio;Tempo Médio dos Processos;Tiempo promedio de los procesos
Processes Charts;Processes Charts;Graphiques des processus;Prozessdiagramme;Elabora i grafici;Gráficos de Processos;Gráficos de procesos
Processes Distribution by Field Value;Processes Distribution by Field Value;Processus Distribution par valeur de champ;Verteilt die Verteilung nach Feldwert;Elabora la distribuzione in base al valore del campo;Distribuição de processos por valor de campo;Procesos de distribución por valor de campo
Query Block;Query Block;Bloc d'interrogation;Abfrageblock;Blocco di query;Bloco de Consulta;Bloque de consulta
Report Creator:;Report Creator:;Créateur du rapport:;Bericht-Ersteller:;Segnala Creatore:;Criador do relatório:;Creador de informes:
Role;Role;Rôle;Rolle;Ruolo;Função;Papel
Role Name;Role Name;Nom de rôle;Rollenname;Nome del ruolo;Nome do papel;Nombre de rol
Roles Charts;Roles Charts;Roles Charts;Rollen Diagramme;Classi dei ruoli;Gráficos de Funções;Gráficos de roles
Saturday;Saturday;samedi;Samstag;Sabato;sábado;sábado
Save Chart;Save Chart;Enregistrer le graphique;Diagramm speichern;Salva grafico;Salvar gráfico;Guardar gráfico
Scope: Application;Scope: Application;Portée: Application;Geltungsbereich: Anwendung;Ambito: applicazione;Âmbito: aplicação;Alcance: Aplicación
Scope: Application Role;Scope: Application Role;Portée: Rôle d'application;Bereich: Anwendungsrolle;Ambito: ruolo dell'applicazione;Âmbito: Função de Aplicação;Alcance: función de aplicación
Scope: Application Role [;Scope: Application Role [;Portée: Rôle d'application [;Scope: Anwendungsrolle [;Ambito: ruolo dell'applicazione [;Escopo: Função de aplicativo [;Alcance: Rol de aplicación [
Scope: Global;Scope: Global;Portée: Global;Geltungsbereich: Global;Ambito: globale;Âmbito: global;Alcance: Global
Scope: User;Scope: User;Portée: Utilisateur;Umfang: Benutzer;Ambito: utente;Âmbito: usuário;Alcance: Usuario
Search Chart Report;Search Chart Report;Rapport de graphique de recherche;Diagrammbericht durchsuchen;Rapporto del grafico di ricerca;Relatório do gráfico de pesquisa;Informe de gráfico de búsqueda
Search Report;Search Report;Rapport de recherche;Suchbericht;Rapporto di ricerca;Relatório de pesquisa;Informe de búsqueda
Show Chart;Show Chart;Afficher le graphique;Diagramm anzeigen;Mostra grafico;Mostrar gráfico;Mostrar gráfico
Show Hide Search Area;Show Hide Search Area;Afficher la zone de recherche;Zeige Suchbereich ausblenden;Mostra Nascondi area di ricerca;Mostrar Ocultar Área de Pesquisa;Mostrar Ocultar área de búsqueda
Spline Area Chart;Spline Area Chart;Diagramme de zone spline;Spline-Bereich Diagramm;Diagramma di area spline;Gráfico de área do spline;Gráfico de área de spline
Start;Start;Début;Anfang;Inizio;Começar;comienzo
Start Time;Start Time;Heure de début;Startzeit;Ora di inizio;Hora de início;Hora de inicio
Summatory;Summatory;Sommation;Zusammenfassend;sommatoria;Resumo;Summatory
Sunday;Sunday;dimanche;Sonntag;Domenica;domingo;domingo
System Charts;System Charts;Graphiques du système;Systemdiagramme;Grafici di sistema;Gráficos do sistema;Gráficos del sistema
System Saved Charts;System Saved Charts;Diagrammes sauvegardés par le système;System gespeicherte Diagramme;Dati salvati di sistema;Gráficos salvas do sistema;Gráficos guardados del sistema
Task Distribution per Role;Task Distribution per Role;Répartition des tâches par rôle;Aufgabenverteilung pro Rolle;Distribuzione delle attività per ruolo;Distribuição de tarefas por função;Distribución de tareas por rol
Task Distribution per Role (;Task Distribution per Role (;Répartition des tâches par rôle (;Aufgabenverteilung pro Rolle (;Distribuzione delle attività per ruolo (;Distribuição de Tarefas por Função (;Distribución de tareas por rol (
Task Name;Task Name;Nom de la tâche;Aufgabennname;Nome dell'attività;Nome da tarefa;Nombre de la tarea
Tasks;Tasks;les tâches;Aufgaben;Compiti;Tarefas;Tareas
Tasks Average Time;Tasks Average Time;Tâches Durée moyenne;Aufgaben Durchschnittliche Zeit;Attività Tempo medio;Tempo Médio das Tarefas;Tiempo promedio de las tareas
Thursday;Thursday;Jeudi;Donnerstag;giovedi;Quinta-feira;jueves
Time;Time;Temps;Zeit;Tempo;Tempo;Hora
Time (s);Time (s);Heure (s);Zeit (en);Tempo (s);Tempo (s);Tiempo (s)
Time to Build:;Time to Build:;Temps de construction:;Zeit zu bauen:;Tempo di costruire:;Hora de construir:;Tiempo de construir:
To:;To:;À:;Zu:;A:;Para:;A:
Toggle Lateral List;Toggle Lateral List;Activer / Désactiver la liste latérale;Toggle Seitliche Liste;Attiva / disattiva lista laterale;Alternar lista lateral;Alternar lista lateral
Total: ;Total: ;Total:;Gesamt:;Totale:;Total:;Total:
Tuesday;Tuesday;Mardi;Dienstag;martedì;terça;martes
Unassigned Tasks;Unassigned Tasks;Tâches non attribuées;Nicht zugewiesene Aufgaben;Attività non assegnate;Tarefas não atribuídas;Tareas no asignadas
Unassigned Tasks per Role (;Unassigned Tasks per Role (;Tâches non attribuées par rôle (;Nicht zugewiesene Aufgaben pro Rolle (;Attività non assegnate per ruolo (;Tarefas não atribuídas por função (;Tareas no asignadas por rol (
User;User;Utilisateur;Benutzer;Utente;Do utilizador;Usuario
User Average Time per Task;User Average Time per Task;Temps moyen par utilisateur par tâche;Durchschnittliche Benutzerzeit pro Aufgabe;Tempo medio dell'utente per attività;Tempo médio do usuário por tarefa;Tiempo promedio del usuario por tarea
User Charts;User Charts;Graphiques utilisateur;Benutzerkarten;Grafici utente;Gráficos do usuário;Gráficos de usuario
User Login;User Login;Utilisateur en ligne;Benutzer-Anmeldung;Login utente;Login de usuário;Inicio de sesión de usuario
Users;Users;Utilisateurs;Benutzer;utenti;Comercial;Usuarios
Users Charts;Users Charts;Graphiques utilisateurs;Benutzerdiagramme;Grafici utenti;Gráficos de Usuários;Gráficos de usuarios
Users Distribution per Role (;Users Distribution per Role (;Distribution des utilisateurs par rôle (;Benutzerverteilung pro Rolle (;Distribuzione degli utenti per ruolo (;Distribuição de usuários por função (;Distribución de usuarios por rol (
Users in Time;Users in Time;Utilisateurs à temps;Benutzer in der Zeit;Utenti nel tempo;Usuários no tempo;Usuarios en el tiempo
Users in Time (;Users in Time (;Utilisateurs dans le temps (;Benutzer in der Zeit (;Utenti nel tempo (;Usuários no tempo (;Usuarios en el tiempo (
Value Occurrences;Value Occurrences;Occurrences de valeur;Wertvorkommen;Occorrenze di valore;Ocorrências de valor;Ocurrencias de valor
Version;Version;Version;Ausführung;Versione;Versão;Versión
View Fields;View Fields;Champs d'affichage;Felder anzeigen;Visualizza campi;Visualizar campos;Ver campos
Wednesday;Wednesday;Mercredi;Mittwoch;mercoledì;Quarta-feira;miércoles
Week;Week;La semaine;Woche;Settimana;Semana;Semana
Year;Year;An;Jahr;Anno;Ano;Año
Yes;Yes;Oui;Ja;sì;sim;Sí
